title	text	publication_date
بالتزامن مع إطلاقها اليوم.. مراجعة لعبة "هيل بليد" الجزء الثاني	تأتي المراجعة الأولى للعبة “هيل بليد” سينوا ساكرفيس الجزء الثاني بالتزامن مع إطلاقها اليوم  الثلاثاء من قبل “إكس بوكس” وقد حصلت الجزيرة نت على فرصة مراجعة اللعبة قبل إتاحتها رسميا للجمهور.	21/5/2024
كيف يمكن أن تخسر أموالك بمجرد مسح رمز استجابة سريع؟	أكواد الاستجابة السريعة والمعروفة باسم “كيو آر” قطعت شوطا طويلا منذ اختراعها في عام 1994 بواسطة إحدى الشركات التابعة لشركة تويوتا.	20/5/2024
هل يغير الفيديو التوليدي باستخدام الذكاء الاصطناعي صناعة الأفلام؟	بدأ إدخال تقنيات المعالجة الرقمية ضمن الأفلام عام 1973 مع فيلم وست وورلد، الذي يعتبر أول فيلم روائي طويل استخدم الصور المولدة بالحاسوب، ولكن ما مستقبل السينما في وجود الذكاء الاصطناعي؟	20/5/2024
آبل وغوغل تمنعان إساءة استعمال أجهزة التتبع الصغيرة	أعلنت شركة آبل عن تطوير معيار مشترك بالتعاون مع شركة غوغل لمنع إساءة استعمال أجهزة التتبع الصغيرة، التي تعمل بتقنية البلوتوث، حتى لا يتم تتبع الأشخاص بشكل غير مرغوب فيه.	20/5/2024
شاشات لمس إلكترونية مضادة للميكروبات.. حلول واعدة	فى دراسة حديثة نشرت في مجلة “نيتشر”، صمم فريق من الباحثين سطحا نحاسيا شفافا ذا بنية نانوية مضادة لبعض الميكروبات، وهو غير موصل كهربائيا.	20/5/2024
4 تطبيقات مجانية لإنشاء المحتوى بالذكاء الاصطناعي على الآيفون	تشعر الآن كما لو أن كل مجال التقنية يدور حول الذكاء الاصطناعي، حيث يمكنك بسهولة إنشاء مختلف أنواع المحتوى، والمميز أنك لا تحتاج إلى جهاز حاسوب بإمكانيات قوية، بل بمجرد استخدامك هاتف الآيفون.	19/5/2024
دليلك للانتقال إلى ماك بوك.. ما أساسيات نظام ماك أو إس؟	إن كنت حديث العهد بحواسيب آبل، فقد تجد صعوبة في معرفة من أين تبدأ استخدامها والاستفادة من مميزاتها ولكن ببعض الإرشادات والممارسة، ستتمكن من التعامل مع جهاز ماك الخاص بك كمحترف في أسرع وقت.	19/5/2024
ميزة جديدة في أندرويد لاكتشاف لحظة تعرض هاتفك للسرقة	تكشف غوغل عن مجموعة من ميزات الأمان الجديدة مع طرحها الإصدار التجريبي الثاني من أندرويد 15، ومنها ميزة لكشف لحظة سرقة الهاتف من بين يديك.	19/5/2024
"أوبن إيه آي" تحل الفريق الذي يعمل على مخاطر الذكاء الاصطناعي	قررت شركة “أوبن إيه آي” حل الفريق الذي يركز على المخاطر طويلة الأمد للذكاء الاصطناعي بعد عام واحد فقط من إعلانها تشكيل هذا الفريق، وفقًا لما أكده شخص مطلع على الوضع.	18/5/2024
منتدى قطر الاقتصادي يناقش الاستثمار في الميتافيرس والتحولات الرقمية	ركز منتدى قطر الاقتصادي في يوم انعقاده الأخير، مساء الخميس، بالدوحة على ملامح اقتصاد المستقبل في ظل التحولات الرقمية، وآخر التطورات والتحديثات التي شهدتها الميتافيرس على الصعد الاقتصادية كافة.	18/5/2024
