title	text	publication_date
برلمانيون أوروبيون يدعون لاستبدال موفد من الكنيست	دعا برلمانيون أوروبيون -في رسالة- الكنيست لتعيين رئيس جديد لوفد البرلمان الإسرائيلي للعلاقات مع البرلمان الأوروبي ما لم يعتذر عضو الكنيست الذي يترأس الوفد عن دعوته لنكبة جديدة تطغى على نكبة 48.	22/5/2024
تحذير من فقدان الفلسطينيين منازلهم وأراضيهم بغزة للأبد	أفاد مقال في مجلة إسرائيلية بأن الفلسطينيين يخشون من فقدان منازلهم وأراضيهم إلى الأبد، في حين تعكف دولة الاحتلال على توسيع رقعة المنطقة العازلة وإقامة قواعد عسكرية في قطاع غزة.	22/5/2024
ما الذي يدفع دولا أوروبية للاعتراف بدولة فلسطين الآن؟	قالت مصادر للجزيرة نت إن الاعتراف بالدولة الفلسطينية يعكس تحولا في الرأي الشعبي لصالح الفلسطينيين ودعمهم في تحقيق السيادة الوطنية، وإنه ثمرة “الصمود الأسطوري” والدماء التي سالت في أرض غزة.	22/5/2024
شاهد.. قسامي يقنص 3 عسكريين إسرائيليين شمالي بيت حانون	بثت كتائب القسام -الجناح العسكري لحركة المقاومة الإسلامية (حماس)- مشاهد قنص 3 عسكريين إسرائيليين بينهم ضابط شمالي بيت حانون شمال قطاع غزة.	22/5/2024
شاهد.. المقاومة تكشف خديعة الاحتلال في استخدام روبوتات مفخخة بجباليا	بثت قناة الجزيرة مشاهد خاصة ترصد استخدام الجيش الإسرائيلي روبوتات مفخخة خلال اقتحامه مخيم جباليا شمالي قطاع غزة.	22/5/2024
الغارديان: الجيش الإسرائيلي يزود مهاجمي شاحنات المساعدات بالمعلومات	كشفت صحيفة الغارديان -اليوم الأربعاء- أن الجيش والشرطة الإسرائيليين يبلغان المستوطنين والناشطين المتطرفين الذين يهاجمون شاحنات المساعدات المتجهة لغزة بمعلومات دقيقة عن مكانها، مما يمكّنهم من مهاجمتها.	22/5/2024
"عائدة".. فيلم وثائقي يحقق حلم العودة إلى فلسطين	بين ثنايا الذاكرة وحلم العودة، تروي المخرجة كارول منصور قصة حياة والدتها عايدة عبود التي غادرت يافا بعمر 21 عاما، وحملت معها الكثير من الذكريات والتفاصيل اليومية التي جسدتها في فيلم حمل عنوان “عائدة”.	22/5/2024
مصطفى البرغوثي: إلغاء "قانون فك الارتباط" بشمال الضفة عمل انتقامي	أعلنت إسرائيل -صباح اليوم الأربعاء- إلغاء ما يسمى قانون فك الارتباط بشمال الضفة الغربية المحتلة، واتخذت إجراءات ضد السلطة الفلسطينية، بعد لحظات من اعتراف 3 دول أوروبية بالدولة الفلسطينية.	22/5/2024
خبير عسكري: الاحتلال بدأ يوسع عمليته في رفح بعد ضوء أخضر أميركي	قالت إذاعة الجيش الإسرائيلي صباح اليوم الأربعاء، إن 10 ألوية للجيش تقاتل حاليا في قطاع غزة، وهو أكبر عدد من الألوية منذ بداية العام الجاري، بعد الدفع بلواء ناحال إلى رفح جنوبا الليلة الماضية.	22/5/2024
الاعتراف رسميا بالدولة الفلسطينية من قلب أوروبا يصنع الحدث	صنع قرار اعتراف كل من إسبانيا والنرويج وأيرلندا اليوم رسميا بالدولة الفلسطينية الحدث على منصات التواصل الاجتماعي، حيث رحب النشطاء بالقرار واصفين إياه بالحدث التاريخي، خاصة أنه جاء من قلب أوروبا.	22/5/2024
جيرمي كوربن للجزيرة: حان الوقت للاعتراف بدولة فلسطين	وصف زعيم حزب العمال البريطاني السابق جيرمي كوربن إعلان النرويج وإسبانيا وأيرلندا اعترافها رسميا بالدولة الفلسطينية بالمهم للغاية، واعتبر هذه الخطوة رسالة لدول أوروبية وللولايات المتحدة الأميركية.	22/5/2024
